pos,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,fixation.stopped,Probe.started,key_resp_2.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,7,0,28,0,,,,,82.07832149998285,83.06234279996715,83.06234279996715,83.06234279996715,83.06234279996715,83.0767800998874,84.07657049992122,84.07657049992122,x,1,0.29527280014008284,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,7,1,29,1,,,,,84.39493740000762,85.37821240001358,85.37821240001358,85.37821240001358,85.37821240001358,85.39345779991709,86.39321989985183,86.39321989985183,v,1,0.264919999986887,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,7,2,30,2,,,,,86.6781037999317,87.66150559997186,87.66150559997186,87.66150559997186,87.66150559997186,87.67659729998559,88.67658369988203,88.67658369988203,c,1,0.15856370003893971,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,7,3,31,3,,,,,88.86137379985303,89.84462979994714,89.84462979994714,89.84462979994714,89.84462979994714,89.85969750001095,90.85956509993412,90.85956509993412,z,1,0.23400440020486712,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,8,0,32,0,,,,,91.11109659983777,92.1095614999067,92.1095614999067,92.1095614999067,92.1095614999067,92.1095614999067,93.10945259989239,93.10945259989239,x,1,0.46347389998845756,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,8,1,33,1,,,,,93.59447499993257,94.57816649996676,94.57816649996676,94.57816649996676,94.57816649996676,94.59313159994781,95.59273809986189,95.59273809986189,v,1,0.23591860011219978,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,8,2,34,2,,,,,95.86073309998028,96.84420139994472,96.84420139994472,96.84420139994472,96.84420139994472,96.85951570002362,97.85929999989457,97.85929999989457,c,1,0.059186500031501055,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,8,3,35,3,,,,,97.94432609993964,98.9275599999819,98.9275599999819,98.9275599999819,98.9275599999819,98.94269229983911,99.94246990000829,99.94246990000829,z,1,0.282846299931407,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,9,0,36,0,,,,,100.2441089998465,101.24258859991096,101.24258859991096,101.24258859991096,101.24258859991096,101.24258859991096,102.24265039991587,102.24265039991587,x,1,0.1770387999713421,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,9,1,37,1,,,,,102.44410869991407,103.42727579991333,103.42727579991333,103.42727579991333,103.42727579991333,103.4425158998929,104.44242769991979,104.44242769991979,v,1,0.2358497001696378,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,9,2,38,2,,,,,104.7105464998167,105.69387289998122,105.69387289998122,105.69387289998122,105.69387289998122,105.70882999990135,106.7091951998882,106.7091951998882,c,1,0.2265226999297738,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
